exp_num,num_workers,batch_size,num_envs_per_worker,num_rollout_steps,minibatch_size,num_minibatches,total_steps,total_time,sps,experience_sps,experience_sps_std,learning_sps,learning_sps_std,setup_time,experience_collection_time,learning_time
0,1,2048,16,128,2048,1,40960,81.21713066101074,504,540,4,24888,5615,18.601524353027344,75.78595685958862,5.430878162384033
1,1,4096,32,128,2048,2,81920,148.4498336315155,551,562,3,28459,274,25.60229229927063,145.57089638710022,2.878755569458008
2,1,8192,64,128,2048,4,163840,295.3761479854584,554,565,4,29025,946,44.31393790245056,289.72519040107727,5.6507790088653564
3,1,16384,128,128,2048,8,327680,572.6937358379364,572,583,6,30887,540,82.07997012138367,562.0813899040222,10.612191915512085
4,1,32768,256,128,2048,16,655360,1220.7877473831177,536,546,5,31714,249,159.81693148612976,1200.1219732761383,20.665587186813354
5,2,2048,8,128,2048,1,40960,44.665929317474365,917,949,8,27271,822,12.368706464767456,43.16248083114624,1.503263235092163
6,2,4096,16,128,2048,2,81920,80.25055432319641,1020,1062,10,26043,426,16.204617977142334,77.10406255722046,3.146232843399048
7,2,8192,32,128,2048,4,163840,154.97557306289673,1057,1098,8,28101,674,26.76077628135681,149.14181208610535,5.833579063415527
8,2,16384,64,128,2048,8,327680,298.7600209712982,1096,1138,11,30269,378,44.85328483581543,287.932594537735,10.82720685005188
9,2,32768,128,128,2048,16,655360,585.5319037437439,1119,1161,10,31017,429,82.39960861206055,564.3985185623169,21.13312268257141
10,4,2048,4,128,2048,1,40960,30.14719033241272,1358,1432,23,26698,857,11.013698101043701,28.611284732818604,1.5357341766357422
11,4,4096,8,128,2048,2,81920,51.52716422080994,1589,1689,16,26954,695,12.760356664657593,48.48564791679382,3.0412654876708984
12,4,8192,16,128,2048,4,163840,90.31661415100098,1814,1938,19,28361,724,17.62122368812561,84.53593015670776,5.7805304527282715
13,4,16384,32,128,2048,8,327680,169.04865860939026,1938,2070,21,30331,452,26.673979997634888,158.24289393424988,10.805557250976562
14,4,32768,64,128,2048,16,655360,324.9635546207428,2016,2157,19,30985,654,46.19161915779114,303.8039572238922,21.15937304496765
15,8,2048,2,128,2048,1,40960,22.206247091293335,1844,1981,34,26803,1482,10.95009994506836,20.672935724258423,1.5331714153289795
16,8,4096,4,128,2048,2,81920,35.74584770202637,2291,2493,34,28487,2040,12.25243878364563,32.8552348613739,2.8904261589050293
17,8,8192,8,128,2048,4,163840,60.014355421066284,2730,3016,42,28825,704,15.254628658294678,54.32685708999634,5.687349557876587
18,8,16384,16,128,2048,8,327680,105.06654262542725,3118,3483,38,29856,436,19.92635679244995,94.08901286125183,10.977306127548218
19,8,32768,32,128,2048,16,655360,196.37846112251282,3337,3743,37,30794,361,30.49327826499939,175.09352493286133,21.284775495529175
20,16,2048,1,128,2048,1,40960,23.0466046333313,1777,1909,52,25986,1059,13.831478834152222,21.46764302253723,1.5787544250488281
21,16,4096,2,128,2048,2,81920,32.362061500549316,2531,2777,70,28933,1875,14.316006183624268,29.518142223358154,2.8436946868896484
22,16,8192,4,128,2048,4,163840,52.53378653526306,3118,3504,108,28581,805,15.438072681427002,46.79675245285034,5.736857652664185
23,16,16384,8,128,2048,8,327680,88.84252452850342,3688,4206,73,30007,684,19.55255699157715,77.91682004928589,10.92555284500122
