exp_num,num_workers,batch_size,num_envs_per_worker,num_rollout_steps,minibatch_size,num_minibatches,total_steps,total_time,sps,experience_sps,experience_sps_std,learning_sps,learning_sps_std,setup_time,experience_collection_time,learning_time
0,1,2048,16,128,2048,1,40960,83.24877858161926,492,508,6,26137,5737,17.528271913528442,80.51196813583374,2.6533749103546143
1,1,4096,32,128,2048,2,81920,156.99117231369019,521,533,3,25628,552,25.01972484588623,153.6951687335968,3.197892904281616
2,1,8192,64,128,2048,4,163840,325.1678853034973,503,513,6,28314,1194,44.897661209106445,319.2879822254181,5.796507835388184
3,1,16384,128,128,2048,8,327680,639.1185123920441,512,521,6,30934,1076,83.64243674278259,628.4301507472992,10.604397773742676
4,1,32768,256,128,2048,16,655360,1226.32381772995,534,544,15,31273,907,160.9765350818634,1205.2489230632782,20.97350788116455
5,2,2048,8,128,2048,1,40960,48.555790424346924,843,872,19,27353,1198,10.880102396011353,46.978426456451416,1.5004665851593018
6,2,4096,16,128,2048,2,81920,86.39616751670837,948,983,13,26937,725,15.658587455749512,83.27888703346252,3.0433788299560547
7,2,8192,32,128,2048,4,163840,165.21956253051758,991,1028,17,28644,963,25.440900087356567,159.39356398582458,5.726240873336792
8,2,16384,64,128,2048,8,327680,339.0932400226593,966,998,10,30383,680,45.14656972885132,328.19179034233093,10.7901451587677
9,2,32768,128,128,2048,16,655360,661.1918594837189,991,1023,12,31464,532,83.43812012672424,640.2168345451355,20.834375858306885
10,4,2048,4,128,2048,1,40960,32.67074704170227,1253,1318,38,27334,1047,8.931560277938843,31.08430242538452,1.500800371170044
11,4,4096,8,128,2048,2,81920,53.84617066383362,1521,1613,28,27396,529,10.665397644042969,50.785990953445435,2.9912219047546387
12,4,8192,16,128,2048,4,163840,95.53580260276794,1714,1824,25,29132,863,16.515517234802246,89.82526206970215,5.628806829452515
13,4,16384,32,128,2048,8,327680,177.32381534576416,1847,1968,18,30617,550,26.46005415916443,166.50872802734375,10.705919027328491
14,4,32768,64,128,2048,16,655360,363.198584318161,1804,1914,21,31628,589,45.8260977268219,342.33048129081726,20.727502584457397
15,8,2048,2,128,2048,1,40960,23.936508178710938,1711,1836,76,27097,1102,8.039611339569092,22.344733476638794,1.514080286026001
16,8,4096,4,128,2048,2,81920,38.507309436798096,2127,2311,94,27963,798,9.056000232696533,35.50182485580444,2.9318063259124756
17,8,8192,8,128,2048,4,163840,63.25041389465332,2590,2850,59,28974,804,11.77762746810913,57.51315522193909,5.658953666687012
18,8,16384,16,128,2048,8,327680,110.0308620929718,2978,3302,47,30689,826,17.49436044692993,99.24851703643799,10.685014009475708
19,8,32768,32,128,2048,16,655360,206.13977599143982,3179,3543,44,31214,718,28.126800537109375,184.98233151435852,21.006412267684937
20,16,2048,1,128,2048,1,40960,25.888798475265503,1582,1688,56,26686,1175,9.609225034713745,24.289106369018555,1.5379230976104736
21,16,4096,2,128,2048,2,81920,35.531506061553955,2305,2511,85,29315,1451,10.159118890762329,32.65923190116882,2.801300048828125
22,16,8192,4,128,2048,4,163840,56.58022975921631,2895,3224,91,29069,695,12.515722036361694,50.85547637939453,5.639455556869507
23,16,16384,8,128,2048,8,327680,94.06733512878418,3483,3939,75,30473,656,16.729583978652954,83.21583008766174,10.758214712142944
24,16,32768,16,128,2048,16,655360,168.14167428016663,3897,4464,51,30915,548,24.074614763259888,146.8014211654663,21.205193758010864
25,32,2048,1,128,2048,2,40960,19.324622869491577,2119,2302,73,27671,842,13.978493690490723,17.80494737625122,1.4815950393676758
26,32,4096,1,128,2048,2,81920,39.84968113899231,2055,2230,105,27614,1127,13.965352058410645,36.8111138343811,2.9709739685058594
27,32,8192,2,128,2048,4,163840,52.821096658706665,3101,3487,145,28935,835,15.234530687332153,47.06449484825134,5.666816234588623
28,32,16384,4,128,2048,8,327680,84.01036882400513,3900,4484,181,30555,388,18.22784185409546,73.18747067451477,10.725884199142456
29,32,32768,8,128,2048,16,655360,135.47983956336975,4837,5731,154,31304,896,22.85805082321167,114.42148685455322,20.953195095062256
