exp_num,num_workers,batch_size,num_envs_per_worker,num_rollout_steps,minibatch_size,num_minibatches,total_steps,total_time,sps,experience_sps,experience_sps_std,learning_sps,learning_sps_std,setup_time,experience_collection_time,learning_time
0,1,128,1,128,16,8,2560,19.53842258453369,131,202,10,406,70,7.784015417098999,12.644593238830566,6.801588773727417
1,1,256,2,128,32,8,5120,24.467965126037598,209,287,12,789,73,6.2840375900268555,17.839024305343628,6.543182849884033
2,1,512,4,128,64,8,10240,34.47593545913696,297,369,12,1558,150,8.290053606033325,27.746057748794556,6.6324639320373535
3,1,1024,8,128,128,8,20480,53.0348699092865,386,443,11,3067,230,10.16312575340271,46.22816205024719,6.717063903808594
4,2,256,1,128,32,8,5120,18.725444078445435,273,415,26,827,90,6.245537042617798,12.369373083114624,6.261435508728027
5,2,512,2,128,64,8,10240,23.35534691810608,438,593,36,1723,43,6.631694078445435,17.324087142944336,5.944739818572998
6,2,1024,4,128,128,8,20480,34.280789852142334,597,738,30,3249,415,8.28972053527832,27.777323961257935,6.415075063705444
7,2,2048,8,128,256,8,40960,51.784552812576294,790,896,20,6861,197,10.258026123046875,45.722848892211914,5.974473476409912
8,4,512,1,128,64,8,10240,19.774136543273926,517,747,39,1763,262,6.5591418743133545,13.744053840637207,5.944459915161133
9,4,1024,2,128,128,8,20480,26.39043140411377,776,1063,61,2975,319,7.304164171218872,19.33345103263855,6.959774494171143
10,4,2048,4,128,256,8,40960,37.14104342460632,1102,1322,45,6783,211,8.559260129928589,31.01489567756653,6.044399738311768
11,4,4096,8,128,512,8,81920,57.90602374076843,1414,1606,21,12123,1193,11.323370933532715,50.988422870635986,6.832201242446899
12,8,1024,1,128,128,8,20480,25.429076194763184,805,1131,53,2867,253,7.38042426109314,18.139963388442993,7.192026376724243
13,8,2048,2,128,256,8,40960,30.693581342697144,1334,1788,42,5373,536,7.876288414001465,22.91052794456482,7.689728736877441
14,8,4096,4,128,512,8,81920,45.83162808418274,1787,2158,45,10613,777,9.71839952468872,37.969359397888184,7.761297941207886
15,8,8192,8,128,1024,8,163840,70.50134468078613,2323,2658,69,18858,1108,12.626898288726807,61.670355558395386,8.718415021896362
16,16,2048,1,128,256,8,40960,34.27205276489258,1195,1494,65,6105,358,9.61738920211792,27.45030188560486,6.731724739074707
17,16,4096,2,128,512,8,81920,42.73631000518799,1916,2329,133,11190,907,10.316986560821533,35.272963523864746,7.366591215133667
18,16,8192,4,128,1024,8,163840,61.98651671409607,2643,3069,82,19355,811,12.706602573394775,53.40713620185852,8.479969024658203
19,16,16384,8,128,2048,8,327680,95.37154746055603,3435,3865,86,31353,648,15.487073183059692,84.821946144104,10.455643892288208
20,32,4096,1,128,512,8,81920,46.51605534553528,1761,2098,55,11185,858,13.851444959640503,39.070616245269775,7.365461826324463
21,32,8192,2,128,1024,8,163840,58.503819942474365,2800,3300,96,18781,675,15.702377557754517,49.682908058166504,8.734373092651367
22,32,16384,4,128,2048,8,327680,88.42387914657593,3705,4222,119,30731,568,18.73793053627014,77.66543793678284,10.666380167007446
23,32,32768,8,128,4096,8,655360,139.98277926445007,4681,5298,110,40653,705,24.02630591392517,123.7516360282898,16.12512969970703
